Local time,Open,High,Low,Close,Volume
16.10.2006 12:30:00.000 GMT+0530,1.25139,1.25169,1.25074,1.25145,0.012309099999999991
16.10.2006 12:45:00.000 GMT+0530,1.25138,1.25156,1.24949,1.24963,0.011885900000000003
16.10.2006 13:00:00.000 GMT+0530,1.24960,1.24982,1.24894,1.24911,0.010693399999999995
16.10.2006 13:15:00.000 GMT+0530,1.24920,1.25142,1.24892,1.25118,0.012125
16.10.2006 13:30:00.000 GMT+0530,1.25106,1.25277,1.25085,1.25218,0.010781000000000006
16.10.2006 13:45:00.000 GMT+0530,1.25224,1.25248,1.25169,1.25176,0.010886600000000014
16.10.2006 14:00:00.000 GMT+0530,1.25178,1.25232,1.25162,1.25187,0.010708200000000003
16.10.2006 14:15:00.000 GMT+0530,1.25170,1.25186,1.25105,1.25121,0.011292600000000002
16.10.2006 21:30:00.000 GMT+0530,1.25143,1.25229,1.25127,1.25204,0.15282379999999937
16.10.2006 21:45:00.000 GMT+0530,1.25200,1.25246,1.25180,1.25196,0.12632959999999957
16.10.2006 22:00:00.000 GMT+0530,1.25209,1.25226,1.25143,1.25184,0.08950039999999979
16.10.2006 22:15:00.000 GMT+0530,1.25187,1.25221,1.25143,1.25180,0.07017659999999991
16.10.2006 22:30:00.000 GMT+0530,1.25182,1.25215,1.25113,1.25127,0.05464880000000003
16.10.2006 22:45:00.000 GMT+0530,1.25112,1.25199,1.25084,1.25181,0.04798580000000005
16.10.2006 23:00:00.000 GMT+0530,1.25188,1.25222,1.25132,1.25155,0.052584000000000124
16.10.2006 23:15:00.000 GMT+0530,1.25156,1.25180,1.25095,1.25152,0.04447600000000014
16.10.2006 23:30:00.000 GMT+0530,1.25136,1.25202,1.25098,1.25185,0.031830099999999986
16.10.2006 23:45:00.000 GMT+0530,1.25195,1.25251,1.25169,1.25244,0.03367970000000002
17.10.2006 00:00:00.000 GMT+0530,1.25251,1.25279,1.25205,1.25230,0.07243929999999985
17.10.2006 00:15:00.000 GMT+0530,1.25237,1.25285,1.25203,1.25233,0.07872870000000003
17.10.2006 00:30:00.000 GMT+0530,1.25238,1.25281,1.25194,1.25250,0.05061000000000007
17.10.2006 00:45:00.000 GMT+0530,1.25264,1.25280,1.25217,1.25231,0.0422524
17.10.2006 01:00:00.000 GMT+0530,1.25260,1.25289,1.25222,1.25253,0.03182379999999994
17.10.2006 01:15:00.000 GMT+0530,1.25254,1.25323,1.25230,1.25304,0.030384099999999997
17.10.2006 01:30:00.000 GMT+0530,1.25310,1.25335,1.25261,1.25287,0.026941599999999913
17.10.2006 01:45:00.000 GMT+0530,1.25275,1.25317,1.25224,1.25296,0.02113559999999999
17.10.2006 02:00:00.000 GMT+0530,1.25294,1.25348,1.25263,1.25304,0.0271046
17.10.2006 02:15:00.000 GMT+0530,1.25307,1.25347,1.25267,1.25299,0.021502699999999996
17.10.2006 02:30:00.000 GMT+0530,1.25277,1.25324,1.25249,1.25285,0.012323800000000005
17.10.2006 02:45:00.000 GMT+0530,1.25285,1.25302,1.25216,1.25243,0.0120607
17.10.2006 03:00:00.000 GMT+0530,1.25251,1.25304,1.25232,1.25289,0.012440000000000007
17.10.2006 03:15:00.000 GMT+0530,1.25304,1.25335,1.25275,1.25287,0.011870500000000003
18.10.2006 16:30:00.000 GMT+0530,1.25347,1.25386,1.25325,1.25366,0.012951999999999993
18.10.2006 16:45:00.000 GMT+0530,1.25370,1.25425,1.25341,1.25414,0.011158899999999994
18.10.2006 17:00:00.000 GMT+0530,1.25415,1.25448,1.25390,1.25419,0.011191899999999998
18.10.2006 17:15:00.000 GMT+0530,1.25415,1.25460,1.25369,1.25417,0.010944900000000002
18.10.2006 17:30:00.000 GMT+0530,1.25420,1.25451,1.25387,1.25398,0.0103603
18.10.2006 17:45:00.000 GMT+0530,1.25421,1.25473,1.25403,1.25465,0.012291500000000004
18.10.2006 18:00:00.000 GMT+0530,1.25437,1.25471,1.25250,1.25269,0.011550899999999994
18.10.2006 18:15:00.000 GMT+0530,1.25274,1.25330,1.25188,1.25231,0.012590499999999989
20.10.2006 10:30:00.000 GMT+0530,1.26335,1.26371,1.26305,1.26341,0.011467299999999982
20.10.2006 10:45:00.000 GMT+0530,1.26342,1.26374,1.26292,1.26351,0.012062100000000006
20.10.2006 11:00:00.000 GMT+0530,1.26358,1.26387,1.26280,1.26292,0.01152609999999999
20.10.2006 11:15:00.000 GMT+0530,1.26301,1.26316,1.26204,1.26248,0.0104288
20.10.2006 11:30:00.000 GMT+0530,1.26260,1.26281,1.26216,1.26253,0.011857500000000002
20.10.2006 11:45:00.000 GMT+0530,1.26267,1.26285,1.26192,1.26200,0.01047979999999999
20.10.2006 12:00:00.000 GMT+0530,1.26199,1.26245,1.26180,1.26225,0.012291200000000007
20.10.2006 12:15:00.000 GMT+0530,1.26228,1.26298,1.26200,1.26229,0.011054400000000006
20.10.2006 12:30:00.000 GMT+0530,1.26261,1.26278,1.26193,1.26214,0.011099900000000003
20.10.2006 12:45:00.000 GMT+0530,1.26215,1.26257,1.26151,1.26165,0.012134299999999994
20.10.2006 13:00:00.000 GMT+0530,1.26178,1.26229,1.26167,1.26167,0.011888700000000006
20.10.2006 13:15:00.000 GMT+0530,1.26214,1.26268,1.26190,1.26252,0.01259180000000001
20.10.2006 13:30:00.000 GMT+0530,1.26227,1.26249,1.26178,1.26217,0.010881900000000002
20.10.2006 13:45:00.000 GMT+0530,1.26231,1.26247,1.26183,1.26191,0.0118003
20.10.2006 14:00:00.000 GMT+0530,1.26210,1.26299,1.26202,1.26276,0.010869600000000007
20.10.2006 14:15:00.000 GMT+0530,1.26258,1.26323,1.26235,1.26321,0.01097800000000001
23.10.2006 14:30:00.000 GMT+0530,1.25745,1.25776,1.25617,1.25644,0.0108093
23.10.2006 14:45:00.000 GMT+0530,1.25644,1.25664,1.25578,1.25586,0.011115000000000007
23.10.2006 15:00:00.000 GMT+0530,1.25603,1.25655,1.25562,1.25600,0.011360000000000014
23.10.2006 15:15:00.000 GMT+0530,1.25602,1.25653,1.25508,1.25510,0.012035499999999996
23.10.2006 21:30:00.000 GMT+0530,1.25417,1.25474,1.25391,1.25460,0.15630019999999997
