Local time,Open,High,Low,Close,Volume
16.10.2015 00:00:00.000 GMT+0530,1.13841,1.13868,1.13790,1.13842,1319.9800000000002
16.10.2015 00:15:00.000 GMT+0530,1.13840,1.13875,1.13820,1.13865,1311.68
16.10.2015 00:30:00.000 GMT+0530,1.13865,1.13868,1.13792,1.13792,1073.28
16.10.2015 00:45:00.000 GMT+0530,1.13792,1.13808,1.13757,1.13759,1023.5
16.10.2015 01:00:00.000 GMT+0530,1.13759,1.13782,1.13737,1.13742,967.7
16.10.2015 01:15:00.000 GMT+0530,1.13743,1.13762,1.13733,1.13750,1166.4
16.10.2015 01:30:00.000 GMT+0530,1.13750,1.13836,1.13750,1.13833,1013.8400000000001
16.10.2015 01:45:00.000 GMT+0530,1.13833,1.13840,1.13812,1.13813,430.57
16.10.2015 02:00:00.000 GMT+0530,1.13811,1.13811,1.13740,1.13740,908.7800000000001
16.10.2015 02:15:00.000 GMT+0530,1.13739,1.13884,1.13735,1.13830,1371.9299999999998
16.10.2015 02:30:00.000 GMT+0530,1.13830,1.13946,1.13777,1.13800,1196.9900000000002
16.10.2015 02:45:00.000 GMT+0530,1.13797,1.13830,1.13790,1.13798,1588.5100000000002
16.10.2015 03:00:00.000 GMT+0530,1.13798,1.13827,1.13768,1.13777,1774.79
16.10.2015 03:15:00.000 GMT+0530,1.13779,1.13794,1.13759,1.13783,1270.75
16.10.2015 03:30:00.000 GMT+0530,1.13783,1.13826,1.13782,1.13813,919.74
16.10.2015 03:45:00.000 GMT+0530,1.13813,1.13816,1.13774,1.13775,1542.29
16.10.2015 04:00:00.000 GMT+0530,1.13775,1.13777,1.13738,1.13759,1033.8300000000002
16.10.2015 04:15:00.000 GMT+0530,1.13759,1.13763,1.13737,1.13760,1488.4399999999998
16.10.2015 04:30:00.000 GMT+0530,1.13760,1.13773,1.13738,1.13740,1060.43
16.10.2015 04:45:00.000 GMT+0530,1.13740,1.13745,1.13669,1.13669,1063.61
16.10.2015 05:00:00.000 GMT+0530,1.13670,1.13740,1.13661,1.13682,794.9700000000001
16.10.2015 05:15:00.000 GMT+0530,1.13682,1.13704,1.13663,1.13663,953.49
16.10.2015 05:30:00.000 GMT+0530,1.13662,1.13693,1.13621,1.13625,1316.6000000000001
16.10.2015 05:45:00.000 GMT+0530,1.13625,1.13660,1.13588,1.13652,1344
16.10.2015 06:00:00.000 GMT+0530,1.13653,1.13705,1.13651,1.13671,944.36
16.10.2015 06:15:00.000 GMT+0530,1.13671,1.13691,1.13652,1.13652,841.5900000000001
16.10.2015 06:30:00.000 GMT+0530,1.13653,1.13683,1.13610,1.13622,1483.16
16.10.2015 06:45:00.000 GMT+0530,1.13623,1.13678,1.13622,1.13676,951.06
16.10.2015 07:00:00.000 GMT+0530,1.13676,1.13694,1.13665,1.13666,940.07
16.10.2015 07:15:00.000 GMT+0530,1.13667,1.13683,1.13663,1.13666,1342.33
16.10.2015 07:30:00.000 GMT+0530,1.13664,1.13713,1.13659,1.13713,1256.3999999999999
16.10.2015 07:45:00.000 GMT+0530,1.13713,1.13766,1.13703,1.13765,943.56
16.10.2015 08:00:00.000 GMT+0530,1.13763,1.13782,1.13763,1.13763,590.27
16.10.2015 08:15:00.000 GMT+0530,1.13763,1.13776,1.13751,1.13765,457.94
16.10.2015 08:30:00.000 GMT+0530,1.13764,1.13820,1.13755,1.13790,671.96
16.10.2015 08:45:00.000 GMT+0530,1.13790,1.13806,1.13761,1.13805,470.29
16.10.2015 09:00:00.000 GMT+0530,1.13805,1.13806,1.13776,1.13803,338.0199999999999
16.10.2015 09:15:00.000 GMT+0530,1.13803,1.13841,1.13782,1.13812,694.27
16.10.2015 09:30:00.000 GMT+0530,1.13811,1.13811,1.13781,1.13783,820.73
16.10.2015 09:45:00.000 GMT+0530,1.13785,1.13785,1.13760,1.13774,614.45
16.10.2015 10:00:00.000 GMT+0530,1.13775,1.13781,1.13765,1.13773,530.05
16.10.2015 10:15:00.000 GMT+0530,1.13772,1.13825,1.13763,1.13825,457.61
16.10.2015 10:30:00.000 GMT+0530,1.13824,1.13876,1.13817,1.13865,715.63
16.10.2015 10:45:00.000 GMT+0530,1.13864,1.13872,1.13840,1.13850,436.14
16.10.2015 11:00:00.000 GMT+0530,1.13850,1.13870,1.13832,1.13840,653.7500000000001
16.10.2015 11:15:00.000 GMT+0530,1.13842,1.13842,1.13798,1.13816,666
16.10.2015 11:30:00.000 GMT+0530,1.13816,1.13913,1.13816,1.13871,1308.74
16.10.2015 11:45:00.000 GMT+0530,1.13872,1.13878,1.13830,1.13845,879.65
16.10.2015 12:00:00.000 GMT+0530,1.13845,1.13932,1.13844,1.13924,1691.22
16.10.2015 12:15:00.000 GMT+0530,1.13923,1.13945,1.13844,1.13845,1269.4000000000003
16.10.2015 12:30:00.000 GMT+0530,1.13845,1.13950,1.13749,1.13749,2792.6899999999996
16.10.2015 12:45:00.000 GMT+0530,1.13749,1.13769,1.13651,1.13724,2757.229999999999
16.10.2015 13:00:00.000 GMT+0530,1.13725,1.13735,1.13675,1.13723,2057.52
16.10.2015 13:15:00.000 GMT+0530,1.13723,1.13735,1.13696,1.13704,1666.6899999999996
16.10.2015 13:30:00.000 GMT+0530,1.13703,1.13776,1.13624,1.13631,2257.3900000000003
16.10.2015 13:45:00.000 GMT+0530,1.13630,1.13637,1.13530,1.13596,2244.26
16.10.2015 14:00:00.000 GMT+0530,1.13596,1.13625,1.13565,1.13576,1945.81
16.10.2015 14:15:00.000 GMT+0530,1.13576,1.13626,1.13572,1.13608,1767.6200000000001
