Local time,Open,High,Low,Close,Volume
16.10.2018 00:00:00.000 GMT+0530,1.15787,1.15833,1.15787,1.15827,1705.28
16.10.2018 00:15:00.000 GMT+0530,1.15828,1.15841,1.15817,1.15833,2285.0399999999995
16.10.2018 00:30:00.000 GMT+0530,1.15834,1.15843,1.15780,1.15796,1939.86
16.10.2018 00:45:00.000 GMT+0530,1.15796,1.15802,1.15778,1.15789,1528.46
16.10.2018 01:00:00.000 GMT+0530,1.15789,1.15790,1.15764,1.15773,1939.88
16.10.2018 01:15:00.000 GMT+0530,1.15773,1.15782,1.15742,1.15777,1705.1599999999999
16.10.2018 01:30:00.000 GMT+0530,1.15777,1.15819,1.15776,1.15816,1420.6699999999998
16.10.2018 01:45:00.000 GMT+0530,1.15815,1.15816,1.15786,1.15789,896.54
16.10.2018 02:00:00.000 GMT+0530,1.15791,1.15807,1.15786,1.15800,875.32
16.10.2018 02:15:00.000 GMT+0530,1.15798,1.15801,1.15780,1.15785,1028.08
16.10.2018 02:30:00.000 GMT+0530,1.15787,1.15821,1.15785,1.15796,427.5899999999999
16.10.2018 02:45:00.000 GMT+0530,1.15796,1.15803,1.15792,1.15800,259.76
16.10.2018 03:00:00.000 GMT+0530,1.15800,1.15804,1.15775,1.15784,713.46
16.10.2018 03:15:00.000 GMT+0530,1.15783,1.15833,1.15783,1.15822,1164.9699999999998
16.10.2018 03:30:00.000 GMT+0530,1.15822,1.15852,1.15821,1.15847,754.8999999999999
16.10.2018 03:45:00.000 GMT+0530,1.15846,1.15851,1.15835,1.15842,390.55
16.10.2018 04:00:00.000 GMT+0530,1.15842,1.15853,1.15832,1.15851,552.48
16.10.2018 04:15:00.000 GMT+0530,1.15847,1.15853,1.15832,1.15836,944.13
16.10.2018 04:30:00.000 GMT+0530,1.15837,1.15839,1.15817,1.15823,776.55
16.10.2018 04:45:00.000 GMT+0530,1.15823,1.15835,1.15814,1.15833,853.9600000000003
16.10.2018 05:00:00.000 GMT+0530,1.15833,1.15850,1.15828,1.15848,642.9799999999999
16.10.2018 05:15:00.000 GMT+0530,1.15848,1.15850,1.15814,1.15828,816.7900000000001
16.10.2018 06:30:00.000 GMT+0530,1.15901,1.15902,1.15875,1.15888,0.0017783799999999956
16.10.2018 06:45:00.000 GMT+0530,1.15889,1.15914,1.15863,1.15875,0.002010189999999997
16.10.2018 07:00:00.000 GMT+0530,1.15873,1.15894,1.15854,1.15871,0.0020319799999999975
16.10.2018 07:15:00.000 GMT+0530,1.15871,1.15878,1.15822,1.15842,0.0026664799999999915
16.10.2018 07:30:00.000 GMT+0530,1.15842,1.15876,1.15837,1.15864,0.0023113999999999977
16.10.2018 07:45:00.000 GMT+0530,1.15865,1.15886,1.15846,1.15855,0.0014301799999999983
16.10.2018 08:00:00.000 GMT+0530,1.15855,1.15865,1.15790,1.15791,0.001971369999999996
16.10.2018 08:15:00.000 GMT+0530,1.15791,1.15810,1.15718,1.15730,0.0023133900000000033
16.10.2018 16:30:00.000 GMT+0530,1.15777,1.15795,1.15744,1.15782,0.002767930000000009
16.10.2018 16:45:00.000 GMT+0530,1.15785,1.15840,1.15775,1.15835,0.002862270000000004
16.10.2018 17:00:00.000 GMT+0530,1.15836,1.15859,1.15810,1.15824,0.0023466600000000026
16.10.2018 17:15:00.000 GMT+0530,1.15824,1.15899,1.15812,1.15897,0.002846880000000001
16.10.2018 17:30:00.000 GMT+0530,1.15899,1.15904,1.15853,1.15867,0.0028484800000000044
16.10.2018 17:45:00.000 GMT+0530,1.15867,1.15871,1.15818,1.15824,0.0030449200000000278
16.10.2018 18:00:00.000 GMT+0530,1.15823,1.15869,1.15772,1.15823,0.003370060000000036
16.10.2018 18:15:00.000 GMT+0530,1.15824,1.15879,1.15796,1.15879,0.0032673100000000176
17.10.2018 05:30:00.000 GMT+0530,1.15763,1.15786,1.15746,1.15783,2201.7699999999995
