Local time,Open,High,Low,Close,Volume
16.10.2009 00:00:00.000 GMT+0530,1.49226,1.49338,1.49148,1.49336,709.4000000000001
16.10.2009 00:15:00.000 GMT+0530,1.49346,1.49350,1.49244,1.49261,891.9
16.10.2009 00:30:00.000 GMT+0530,1.49255,1.49338,1.49221,1.49263,636.5
16.10.2009 00:45:00.000 GMT+0530,1.49255,1.49285,1.49161,1.49178,773.8
16.10.2009 01:00:00.000 GMT+0530,1.49179,1.49283,1.49144,1.49196,855.8000000000001
16.10.2009 01:15:00.000 GMT+0530,1.49208,1.49373,1.49163,1.49344,883.3999999999999
16.10.2009 01:30:00.000 GMT+0530,1.49354,1.49367,1.49263,1.49280,1090.5
16.10.2009 01:45:00.000 GMT+0530,1.49300,1.49351,1.49279,1.49345,992.5000000000001
16.10.2009 02:00:00.000 GMT+0530,1.49377,1.49434,1.49307,1.49415,635.8000000000001
16.10.2009 02:15:00.000 GMT+0530,1.49435,1.49470,1.49354,1.49470,936.4000000000001
16.10.2009 02:30:00.000 GMT+0530,1.49453,1.49473,1.49374,1.49430,800.8000000000001
16.10.2009 02:45:00.000 GMT+0530,1.49424,1.49449,1.49393,1.49431,659.7
16.10.2009 03:00:00.000 GMT+0530,1.49427,1.49448,1.49352,1.49387,972.8
16.10.2009 03:15:00.000 GMT+0530,1.49385,1.49445,1.49330,1.49355,1182.1
16.10.2009 03:30:00.000 GMT+0530,1.49331,1.49422,1.49315,1.49387,376.29999999999995
16.10.2009 03:45:00.000 GMT+0530,1.49387,1.49395,1.49348,1.49365,388.2
16.10.2009 04:00:00.000 GMT+0530,1.49353,1.49385,1.49336,1.49365,351.20000000000005
16.10.2009 04:15:00.000 GMT+0530,1.49354,1.49421,1.49339,1.49404,365.40000000000003
16.10.2009 04:30:00.000 GMT+0530,1.49396,1.49426,1.49347,1.49358,334.3
16.10.2009 04:45:00.000 GMT+0530,1.49336,1.49360,1.49299,1.49356,407.3999999999999
16.10.2009 05:00:00.000 GMT+0530,1.49379,1.49563,1.49316,1.49489,337.8000000000001
16.10.2009 05:15:00.000 GMT+0530,1.49512,1.49557,1.49458,1.49529,382.2
16.10.2009 05:30:00.000 GMT+0530,1.49535,1.49551,1.49445,1.49496,544.3
