Local time,Open,High,Low,Close,Volume
16.10.2003 00:00:00.000 GMT+0530,1.16329,1.16460,1.16317,1.16388,48436.500499999995
16.10.2003 00:15:00.000 GMT+0530,1.16385,1.16573,1.16343,1.16445,52524.3002
16.10.2003 00:30:00.000 GMT+0530,1.16441,1.16469,1.16336,1.16375,33900.3001
16.10.2003 00:45:00.000 GMT+0530,1.16385,1.16421,1.16339,1.16344,29439.1
16.10.2003 01:00:00.000 GMT+0530,1.16370,1.16391,1.16272,1.16279,21481.499799999998
16.10.2003 01:15:00.000 GMT+0530,1.16283,1.16351,1.16266,1.16325,21401.0001
16.10.2003 01:30:00.000 GMT+0530,1.16313,1.16402,1.16280,1.16354,17385.5
16.10.2003 01:45:00.000 GMT+0530,1.16367,1.16381,1.16312,1.16332,14806.799899999998
16.10.2003 02:00:00.000 GMT+0530,1.16377,1.16384,1.16298,1.16335,17907.9
16.10.2003 02:15:00.000 GMT+0530,1.16344,1.16365,1.16290,1.16309,14009.199999999999
16.10.2003 02:30:00.000 GMT+0530,1.16308,1.16358,1.16278,1.16312,8463.2
16.10.2003 02:45:00.000 GMT+0530,1.16302,1.16331,1.16156,1.16181,7202.899999999999
16.10.2003 03:00:00.000 GMT+0530,1.16179,1.16192,1.16111,1.16144,8284.900000000001
16.10.2003 03:15:00.000 GMT+0530,1.16118,1.16158,1.16082,1.16133,6656.6
16.10.2003 03:30:00.000 GMT+0530,1.16142,1.16200,1.16090,1.16200,7593.600000000001
16.10.2003 03:45:00.000 GMT+0530,1.16169,1.16235,1.16157,1.16215,6826.099999999999
16.10.2003 04:00:00.000 GMT+0530,1.16203,1.16254,1.16171,1.16204,7814.700000000001
16.10.2003 04:15:00.000 GMT+0530,1.16197,1.16235,1.16185,1.16195,5961
16.10.2003 04:30:00.000 GMT+0530,1.16195,1.16220,1.16162,1.16197,8094.400000000001
16.10.2003 04:45:00.000 GMT+0530,1.16193,1.16216,1.16144,1.16151,8115.400000000001
16.10.2003 05:00:00.000 GMT+0530,1.16177,1.16177,1.16081,1.16109,8512.400000000001
16.10.2003 05:15:00.000 GMT+0530,1.16115,1.16204,1.16095,1.16171,8797.4
16.10.2003 23:30:00.000 GMT+0530,1.16384,1.16392,1.16280,1.16295,0.02144549999999996
16.10.2003 23:45:00.000 GMT+0530,1.16286,1.16299,1.16028,1.16128,0.023523600000000006
17.10.2003 00:00:00.000 GMT+0530,1.16153,1.16206,1.15966,1.15995,0.04905350000000003
17.10.2003 00:15:00.000 GMT+0530,1.15991,1.16094,1.15891,1.15988,0.050992800000000026
18.10.2003 05:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 05:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 06:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 06:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 06:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 06:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 07:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 07:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 07:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 07:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 08:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 08:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 08:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 08:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 09:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 09:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 09:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 09:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 10:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 10:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 10:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 10:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 11:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 11:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 11:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 11:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 12:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 12:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 12:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 12:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 13:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 13:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 13:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 13:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 14:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 14:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 14:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 14:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 15:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 15:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 15:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 15:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 16:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 16:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 16:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 16:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 17:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 17:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 17:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 17:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 18:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 18:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 18:30:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 18:45:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 19:00:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
18.10.2003 19:15:00.000 GMT+0530,1.16734,1.16734,1.16734,1.16734,0
